,Violon,Critère,Note,Condition,Sujet,Session
105,A,P,8.0,aveugle,Fanton,3
106,A,F,8.0,aveugle,Fanton,3
107,A,T,7.0,aveugle,Fanton,3
108,B,P,8.0,aveugle,Fanton,3
109,B,F,8.0,aveugle,Fanton,3
110,B,T,7.0,aveugle,Fanton,3
111,C,P,8.0,aveugle,Fanton,3
112,C,F,8.0,aveugle,Fanton,3
113,C,T,8.0,aveugle,Fanton,3
114,A,P,7.0,non-aveugle,Fanton,3
115,A,F,8.0,non-aveugle,Fanton,3
116,A,T,6.0,non-aveugle,Fanton,3
117,C,P,8.0,non-aveugle,Fanton,3
118,C,F,8.0,non-aveugle,Fanton,3
119,C,T,8.0,non-aveugle,Fanton,3
120,A,P,9.0,aveugle,Victor,3
121,A,F,9.0,aveugle,Victor,3
122,A,T,7.0,aveugle,Victor,3
123,B,P,7.0,aveugle,Victor,3
124,B,F,7.0,aveugle,Victor,3
125,B,T,5.0,aveugle,Victor,3
126,C,P,7.0,aveugle,Victor,3
127,C,F,8.0,aveugle,Victor,3
128,C,T,8.0,aveugle,Victor,3
129,A,P,7.0,non-aveugle,Victor,3
130,A,F,8.0,non-aveugle,Victor,3
131,A,T,6.0,non-aveugle,Victor,3
132,C,P,8.0,non-aveugle,Victor,3
133,C,F,7.0,non-aveugle,Victor,3
134,C,T,9.0,non-aveugle,Victor,3
135,A,P,8.0,aveugle,Eugénie,3
136,A,F,8.0,aveugle,Eugénie,3
137,A,T,7.0,aveugle,Eugénie,3
138,B,P,9.0,aveugle,Eugénie,3
139,B,F,8.0,aveugle,Eugénie,3
140,B,T,8.0,aveugle,Eugénie,3
141,C,P,10.0,aveugle,Eugénie,3
142,C,F,9.0,aveugle,Eugénie,3
143,C,T,9.0,aveugle,Eugénie,3
144,A,P,8.0,non-aveugle,Eugénie,3
145,A,F,7.0,non-aveugle,Eugénie,3
146,A,T,6.0,non-aveugle,Eugénie,3
147,C,P,7.0,non-aveugle,Eugénie,3
148,C,F,6.0,non-aveugle,Eugénie,3
149,C,T,8.0,non-aveugle,Eugénie,3
150,A,P,6.0,aveugle,Céleste,3
151,A,F,7.0,aveugle,Céleste,3
152,A,T,6.0,aveugle,Céleste,3
153,B,P,6.0,aveugle,Céleste,3
154,B,F,7.0,aveugle,Céleste,3
155,B,T,7.0,aveugle,Céleste,3
156,C,P,7.0,aveugle,Céleste,3
157,C,F,8.0,aveugle,Céleste,3
158,C,T,8.0,aveugle,Céleste,3
159,A,P,6.0,non-aveugle,Céleste,3
160,A,F,7.0,non-aveugle,Céleste,3
161,A,T,5.0,non-aveugle,Céleste,3
162,C,P,6.0,non-aveugle,Céleste,3
163,C,F,8.0,non-aveugle,Céleste,3
164,C,T,7.0,non-aveugle,Céleste,3
165,A,P,8.0,aveugle,Lucie,3
166,A,F,8.0,aveugle,Lucie,3
167,A,T,7.0,aveugle,Lucie,3
168,B,P,8.0,aveugle,Lucie,3
169,B,F,10.0,aveugle,Lucie,3
170,B,T,9.0,aveugle,Lucie,3
171,C,P,7.0,aveugle,Lucie,3
172,C,F,9.0,aveugle,Lucie,3
173,C,T,7.0,aveugle,Lucie,3
174,A,P,8.0,non-aveugle,Lucie,3
175,A,F,9.0,non-aveugle,Lucie,3
176,A,T,7.0,non-aveugle,Lucie,3
177,C,P,8.0,non-aveugle,Lucie,3
178,C,F,10.0,non-aveugle,Lucie,3
179,C,T,8.0,non-aveugle,Lucie,3
